Ref,Val,Package,PosX,PosY,Rot,Side
"C53","100nf","C_0603_1608Metric",49.375000,-103.230000,180.000000,bottom
"C54","100nf","C_0603_1608Metric",68.425000,-103.230000,180.000000,bottom
"C55","100nf","C_0603_1608Metric",123.193750,-103.230000,180.000000,bottom
"C56","100nf","C_0603_1608Metric",149.387500,-103.230000,180.000000,bottom
"C57","100nf","C_0603_1608Metric",168.437500,-103.230000,180.000000,bottom
"C58","100nf","C_0603_1608Metric",187.487500,-103.230000,180.000000,bottom
"C59","100nf","C_0603_1608Metric",206.537500,-103.230000,180.000000,bottom
"C60","100nf","C_0603_1608Metric",225.587500,-103.230000,180.000000,bottom
"C61","100nf","C_0603_1608Metric",244.637500,-103.230000,180.000000,bottom
"C62","100nf","C_0603_1608Metric",263.687500,-103.230000,180.000000,bottom
"C63","100nf","C_0603_1608Metric",282.737500,-103.230000,180.000000,bottom
"C64","100nf","C_0603_1608Metric",301.787500,-103.230000,180.000000,bottom
"C65","100nf","C_0603_1608Metric",320.837500,-103.230000,180.000000,bottom
"C66","100nf","C_0603_1608Metric",339.887500,-103.230000,180.000000,bottom
"C67","100nf","C_0603_1608Metric",370.843750,-103.230000,180.000000,bottom
"C68","100nf","C_0603_1608Metric",406.562500,-103.230000,180.000000,bottom
"C69","100nf","C_0603_1608Metric",40.890000,-123.790000,0.000000,bottom
"C70","100nf","C_0603_1608Metric",59.940000,-123.790000,0.000000,bottom
"C71","100nf","C_0603_1608Metric",78.990000,-123.790000,0.000000,bottom
"C72","100nf","C_0603_1608Metric",98.040000,-133.315000,0.000000,bottom
